station,lat,lng,district,totalIn,totalOut,totalCnt
益田,22.516287,114.050987,福田区,18804,19078,37882
福田,22.540087,114.052879,福田区,14594,14138,28732
车公庙,22.536247,114.02583,福田区,39184,36912,76096
布心,22.580986,114.138045,罗湖区,13436,13520,26956
布吉,22.60233,114.121159,龙岗区,33807,32548,66355
五和,22.626833,114.060681,龙岗区,29835,28867,58702
燕南,22.544541,114.092561,福田区,11068,11838,22906
科学馆,22.540618,114.095173,福田区,25524,12381,37905
景田,22.553419,114.043343,福田区,16047,16258,32305
香梅北,22.55386,114.032716,福田区,6793,6863,13656
坂田,22.627483,114.070852,龙岗区,12376,12605,24981
竹子林,22.533357,114.013917,福田区,13067,14207,27274
莲花北,22.560538,114.059402,福田区,12611,12560,25171
福田口岸,22.515176,114.067731,福田区,24906,26904,51810
田贝,22.56728,114.130052,罗湖区,11659,11593,23252
红岭,22.54838,114.104584,罗湖区,8516,8509,17025
大剧院,22.5418,114.107811,罗湖区,40414,44272,84686
深圳北,22.610815,114.030865,龙华区,39539,39332,78871
老街,22.54497,114.116208,罗湖区,48458,45103,93561
华强路,22.540459,114.085133,福田区,29376,37820,67196
清湖,22.664085,114.036538,龙华区,19348,21144,40492
白石洲,22.539604,113.967048,南山区,21204,23975,45179
大新,22.532232,113.915072,南山区,23580,23526,47106
坪洲,22.568908,113.870711,宝安区,27430,30983,58413
大运,22.68572,114.228163,龙岗区,6709,6886,13595
双龙,22.728806,114.277422,龙岗区,14492,18008,32500
上梅林,22.570459,114.059415,福田区,16876,16009,32885
莲花西,22.546668,114.050034,福田区,6565,6830,13395
华侨城,22.533489,113.985369,南山区,6799,6919,13718
香蜜湖,22.538887,114.038637,福田区,6131,0,6131
华强北,22.544441,114.085413,福田区,23209,23678,46887
长龙,22.608053,114.113825,龙岗区,15118,15037,30155
市民中心,22.541834,114.06097,福田区,10037,10045,20082
太安,22.573466,114.137119,罗湖区,8388,8321,16709
桃园,22.531506,113.924781,南山区,28066,26879,54945
福民,22.523226,114.065915,福田区,21122,21194,42316
木棉湾,22.606997,114.130293,龙岗区,15171,16894,32065
丹竹头,22.619752,114.148054,龙岗区,18808,20720,39528
侨城北,22.543992,113.989148,南山区,7500,7000,14500
南联,22.721967,114.265531,龙岗区,7902,7511,15413
